,LP1-Fx,LP1-Fy,LP1-Fz,LP1-Mx,LP1-My,LP1-Mz,LP2-Fx,LP2-Fy,LP2-Fz,LP2-Mx,LP2-My,LP2-Mz,LP3-Fx,LP3-Fy,LP3-Fz,LP3-Mx,LP3-My,LP3-Mz,LP4-Fx,LP4-Fy,LP4-Fz,LP4-Mx,LP4-My,LP4-Mz,,Knuckle_S,Bolt1_S,Bolt2_S,Bolt3_S,Bolt4_S,Bolt1_Loss,Bolt2_Loss,Bolt3_Loss,Bolt4_Loss,预紧力损失为百分比率分子
Design1,-3677,5592,-23715,0,0,0,-32069,-23993,19085,0,0,0,-10,-3434,-65,-14020,1330,23367,-4715,22697,3585,-10560,9810,-81907,,225.86,836.5,836.84,840.59,837.02,0.65,0.71,1.51,1.08,
Design2,-4279,6571,-27557,0,0,0,-38094,-28584,23218,0,0,0,-24,-3331,-68,-13974,819,24659,-5415,26539,4157,-11112,12549,-105085,,228.67,836.71,837.25,842.11,837.44,0.94,0.77,2.18,1.83,
Design3,2175,-3636,15003,0,0,0,28563,25034,-24228,0,0,0,-178,-5205,-148,-11645,7495,-21572,2159,-15497,-3252,-6691,5170,-4630,,223.92,836.48,836,836.77,837.1,0.5,0.15,0.44,0.27,
Design4,2725,-4543,18859,0,0,0,35079,29961,-28708,0,0,0,-211,-5415,-162,-11416,8208,-24102,2408,-19053,-4058,-6123,3126,9137,,224.79,836.64,836.05,837.08,837.54,0.59,0.22,0.55,0.38,
Design5,144,-179,904,0,0,0,-6535,-32087,-7082,0,0,0,-1122,23146,-1870,-21485,2455,-47180,7716,-24144,-3313,-14443,18371,-117540,,229.97,836.76,836.17,838.62,838.04,2.35,2.4,1.25,1.9,
Design6,315,-373,1959,0,0,0,-8664,-39381,-7194,0,0,0,-1555,29498,-2692,-23722,-1401,-88260,10355,-30454,-3900,-16102,23988,-169208,,233.57,839.08,841.63,839.15,837.53,3.87,4.44,3.17,4.1,
Design7,-3548,4428,-22405,0,0,0,-1096,15344,-28097,0,0,0,3333,-26097,8684,-113105,-17473,-80443,-4017,11315,-1505,-51401,-9260,-23032,,226.82,836.76,836.17,838.62,838.04,1.36,0.86,0.63,0.95,
Design8,-4238,5207,-26711,0,0,0,-1790,17919,-32628,0,0,0,4246,-30126,10687,-118881,-30025,-109173,-4770,13259,-1833,-53543,-11675,-37885,,229.63,836.26,836.3,839.54,838.94,1.95,1.03,0.86,1.15,
Design9,559,-558,3361,0,0,0,-2732,-7809,5950,0,0,0,-399,12124,9520,112684,-10092,-16193,471,-2749,-1609,68620,5937,-16749,,223.71,836.39,836.15,836.08,836.01,0.19,0.09,0.11,0.07,
Design10,653,-614,3891,0,0,0,-3281,-9383,6735,0,0,0,-579,14494,12027,124072,-3203,-25159,534,-3194,-2055,77145,6846,-17195,,224.03,836.59,836.26,836.13,836.04,0.27,0.12,0.15,0.09,
Design11,761,-631,4424,0,0,0,-16282,30997,-4576,0,0,0,880,-10369,183,-15436,4987,26172,15785,-41943,-7412,-16547,50993,-284784,,241.72,836.81,840.35,841.3,850.9,3.13,1.14,9.42,20.06,
Design12,-944,1967,-6927,0,0,0,3482,-45780,-6631,0,0,0,-75,-2999,-89,-13372,5141,-11841,-3511,24954,4368,-7696,-101,2694,,246.55,838.72,836.66,850.21,840.94,1.41,1.38,14.62,16.9,
Design13,-1036,1594,-6853,0,0,0,5030,7199,-1189,0,0,0,0,-7090,-118,-12204,2699,2144,254,-1477,-340,-7184,-657,3913,,223.13,836.1,836.63,837.12,837.29,0.48,0.44,0.66,0.32,
Design14,-417,637,-2752,0,0,0,608,2592,-4576,0,0,0,20,-4612,18,-15926,5247,7181,-408,1577,169,-9208,-192,8804,,222.9,835.92,835.83,835.99,835.8,0.09,0.02,0.06,0.04,
